query_id,query_text,category,complexity_level,paraphrase_group_id,is_standard_wording,answer_kind,answer_tolerance,execution_ok,note,expected_functions,expected_arguments,expected_answer_values
q19,How many windows are there in total?,counting,L2,g08,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow""}",[272]
q20,What is the total window count for the building?,counting,L2,g08,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow""}",[272]
q21,How many columns does the building have?,counting,L2,g09,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcColumn""}",[64]
q22,Count all the columns in the facility.,counting,L2,g09,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcColumn""}",[64]
q23,How many doors are on the second floor?,counting,L2,g10,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcDoor"", ""floor"": ""2. Obergeschoss""}",[1]
q24,Count the doors on level two.,counting,L2,g10,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcDoor"", ""floor"": ""2. Obergeschoss""}",[1]
q25,How many windows are on the first floor?,counting,L2,g11,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""1. Obergeschoss""}",[79]
q26,Count the windows on the 1. Obergeschoss.,counting,L2,g11,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""1. Obergeschoss""}",[79]
q27,How many sensors does the building have?,counting,L2,g12,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcSensor""}",[50]
q28,Count all sensors in the facility.,counting,L2,g12,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcSensor""}",[50]
q29,What are the heights and widths of the windows on the second floor?,attribute,L2,g13,True,number,0.0,True,,"[""get_component_attributes""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[52]
q30,Show me the dimensions of windows on level two.,attribute,L2,g13,False,number,0.0,True,,"[""get_component_attributes""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[52]
q31,What are the dimensions of the doors on the ground floor?,attribute,L2,g14,True,number,0.0,True,,"[""get_component_attributes""]","{""component_type"": ""IfcDoor"", ""floor"": ""Erdgeschoss""}",[5]
q32,Show me the height and width of doors in the Erdgeschoss.,attribute,L2,g14,False,number,0.0,True,,"[""get_component_attributes""]","{""component_type"": ""IfcDoor"", ""floor"": ""Erdgeschoss""}",[5]
q33,What is the total window area in the building?,aggregation,L3,g15,True,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow""}",[1787.953]
q34,Calculate the overall area of all windows.,aggregation,L3,g15,False,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow""}",[1787.953]
q35,What is the total window area on the second floor?,aggregation,L3,g16,True,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[384.078]
q36,Calculate the window area on level two.,aggregation,L3,g16,False,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[384.078]
q37,What is the total door area in the building?,aggregation,L3,g17,True,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcDoor""}",[419.021]
q38,Calculate the combined area of all doors.,aggregation,L3,g17,False,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcDoor""}",[419.021]
q39,What is the total window area on the first floor?,aggregation,L3,g18,True,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow"", ""floor"": ""1. Obergeschoss""}",[560.59]
q40,Calculate the window area on level one.,aggregation,L3,g18,False,number,1.0,True,,"[""calculate_total_component_area""]","{""component_type"": ""IfcWindow"", ""floor"": ""1. Obergeschoss""}",[560.59]
q41,What is the floor area of the ground floor?,aggregation,L3,g19,True,number,1.0,True,,"[""calculate_floor_area""]","{""floor"": ""Erdgeschoss""}",[556.74]
q42,How big is the Erdgeschoss?,aggregation,L3,g19,False,number,1.0,True,,"[""calculate_floor_area""]","{""floor"": ""Erdgeschoss""}",[556.74]
q43,What is the floor area of the first floor?,aggregation,L3,g20,True,number,1.0,True,,"[""calculate_floor_area""]","{""floor"": ""1. Obergeschoss""}",[548.41]
q44,How many square metres is the 1. Obergeschoss?,aggregation,L3,g20,False,number,1.0,True,,"[""calculate_floor_area""]","{""floor"": ""1. Obergeschoss""}",[548.41]
q45,Are there more windows on the first or the second upper floor?,multistep,L4,g21,True,string,0.0,True,,"[""count_components""]",{},"[""1. Obergeschoss""]"
q46,Compare window counts between the first and second floor.,multistep,L4,g21,False,string,0.0,True,,"[""count_components""]",{},"[""1. Obergeschoss""]"
q47,"Which has more windows, level one or level two?",multistep,L4,g21,False,string,0.0,True,,"[""count_components""]",{},"[""1. Obergeschoss""]"
q48,Are there more doors on the ground floor or the second floor?,multistep,L4,g22,True,string,0.0,True,,"[""count_components""]",{},"[""Erdgeschoss""]"
q49,Compare the number of doors between the Erdgeschoss and level two.,multistep,L4,g22,False,string,0.0,True,,"[""count_components""]",{},"[""Erdgeschoss""]"
q50,Is the window area larger on the first or the second floor?,multistep,L4,g23,True,string,0.0,True,,"[""calculate_total_component_area""]",{},"[""1. Obergeschoss""]"
q51,Compare the window area between level one and level two.,multistep,L4,g23,False,string,0.0,True,,"[""calculate_total_component_area""]",{},"[""1. Obergeschoss""]"
q52,"Which floor has more window surface, the first or second upper floor?",multistep,L4,g23,False,string,0.0,True,,"[""calculate_total_component_area""]",{},"[""1. Obergeschoss""]"
q53,Which floor has the largest total window area?,multistep,L4,g24,True,string,0.0,True,,"[""calculate_area_by_floor""]",{},"[""1. Obergeschoss""]"
q54,Where is the biggest amount of window area?,multistep,L4,g24,False,string,0.0,True,,"[""calculate_area_by_floor""]",{},"[""1. Obergeschoss""]"
q55,Which storey has the most glazing?,multistep,L4,g24,False,string,0.0,True,,"[""calculate_area_by_floor""]",{},"[""1. Obergeschoss""]"
q56,Which floor has the largest total door area?,multistep,L4,g25,True,string,0.0,True,,"[""calculate_area_by_floor""]",{},"[""Erdgeschoss""]"
q57,On which storey is the door area the biggest?,multistep,L4,g25,False,string,0.0,True,,"[""calculate_area_by_floor""]",{},"[""Erdgeschoss""]"
q58,What is the floor area of the first and the second floor?,multistep,L4,g26,True,number,1.0,True,,"[""calculate_floor_area""]",{},"[548.41, 440.62]"
q59,Give me the area of both the first and second upper floor.,multistep,L4,g26,False,number,1.0,True,,"[""calculate_floor_area""]",{},"[548.41, 440.62]"
